,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Row,Col,Treatment,Concentration_uM,Cell_Death,Well,A,incubation_time,drug,Row_New,concentr,normalized_atp_1,plate,B,normalized_atp_2,C,normalized_atp_3,normalized_atp
145,145,145,112,E,16,Etoposide,"8,435",Apoptosis,E16,,28h,apoptosis,5,8.435,,2,181496.0,0.7228117787368533,,,0.7228117787368533
146,146,146,113,E,17,Etoposide,"4,2175",Apoptosis,E17,,28h,apoptosis,5,4.2175,,2,170536.0,0.6791633396805881,,,0.6791633396805881
147,147,147,114,E,18,Etoposide,"67,48",Apoptosis,E18,,28h,apoptosis,5,67.48,,2,100072.0,0.3985389227407457,,,0.3985389227407457
148,148,148,115,E,19,Etoposide,"33,74",Apoptosis,E19,,28h,apoptosis,5,33.74,,2,136736.0,0.5445541024450257,,,0.5445541024450257
149,149,149,116,E,20,Etoposide,"16,87",Apoptosis,E20,,28h,apoptosis,5,16.87,,2,153696.0,0.612097672371509,,,0.612097672371509
150,150,150,117,E,21,Etoposide,"8,435",Apoptosis,E21,,28h,apoptosis,5,8.435,,2,170464.0,0.6788765981101454,,,0.6788765981101454
151,151,151,118,E,22,Etoposide,"4,2175",Apoptosis,E22,,28h,apoptosis,5,4.2175,,2,192160.0,0.7652813913368544,,,0.7652813913368544
152,152,152,133,F,13,Actinomycin D,"0,0015104",Apoptosis,F13,,28h,apoptosis,6,0.0015104,,2,190440.0,0.7584314538207252,,,0.7584314538207252
153,153,153,138,F,18,Actinomycin D,"0,0015104",Apoptosis,F18,,28h,apoptosis,6,0.0015104,,2,191544.0,0.7628281579008453,,,0.7628281579008453
154,154,154,139,F,19,Actinomycin D,"0,0007552",Apoptosis,F19,,28h,apoptosis,6,0.0007552,,2,195056.0,0.7768147745035464,,,0.7768147745035464
155,155,155,147,G,3,Doxorubicin,"0,2472",Apoptosis,G03,,28h,apoptosis,7,0.2472,,2,165024.0,0.657211679454481,,,0.657211679454481
156,156,156,157,G,13,Doxorubicin,"0,2472",Apoptosis,G13,,28h,apoptosis,7,0.2472,,2,130920.0,0.5213917555881608,,,0.5213917555881608
157,157,157,162,G,18,Doxorubicin,"0,2472",Apoptosis,G18,,28h,apoptosis,7,0.2472,,2,149320.0,0.5946701569234966,,,0.5946701569234966
158,158,158,163,G,19,Doxorubicin,"0,1236",Apoptosis,G19,,28h,apoptosis,7,0.1236,,2,175992.0,0.7008919786852398,,,0.7008919786852398
159,159,159,169,H,1,DMSO,0,Healthy,H01,,28h,healthy,8,0.0,,2,189920.0,0.7563605424786396,,,0.7563605424786396
160,160,160,170,H,2,Untreated,0,Healthy,H02,,28h,healthy,8,0.0,,2,199384.0,0.7940511289045971,,,0.7940511289045971
161,161,161,172,H,4,Niclosamide,"3,39",Apoptosis,H04,,28h,apoptosis,8,3.39,,2,115560.0,0.4602202205604022,,,0.4602202205604022
162,162,162,173,H,5,Niclosamide,"1,695",Apoptosis,H05,,28h,apoptosis,8,1.695,,2,186200.0,0.7415455613391043,,,0.7415455613391043
163,163,163,181,H,13,Niclosamide,"6,78",Apoptosis,H13,,28h,apoptosis,8,6.78,,2,90496.0,0.3604022938718775,,,0.3604022938718775
164,164,164,182,H,14,Niclosamide,"3,39",Apoptosis,H14,,28h,apoptosis,8,3.39,,2,142336.0,0.5668562245905626,,,0.5668562245905626
165,165,165,186,H,18,Niclosamide,"6,78",Apoptosis,H18,,28h,apoptosis,8,6.78,,2,93072.0,0.3706612700588245,,,0.3706612700588245
